"arrest","block","description","district","domestic","latitude","location","location_description","longitude","primary_type"
"false","068XX S HERMITAGE AVE","AGGRAVATED: HANDGUN",7,"false",41.769649723,"POINT (-87.667590545 41.769649723)","RESIDENCE",-87.667590545,"ASSAULT"
"true","031XX N BROADWAY","POSS: AMPHETAMINES",19,"false",41.938967852,"POINT (-87.644363923 41.938967852)","STREET",-87.644363923,"NARCOTICS"
"false","013XX N MONTICELLO AVE","TO VEHICLE",25,"false",41.905087973,"POINT (-87.717857133 41.905087973)","STREET",-87.717857133,"CRIMINAL DAMAGE"
"false","021XX W 119TH ST","AGGRAVATED OF A SENIOR CITIZEN",22,"true",0,"","RESIDENCE",0,"BATTERY"
"true","003XX W 63RD ST","VEHICLE TITLE/REG OFFENSE",7,"false",41.779929767,"POINT (-87.633859966 41.779929767)","STREET",-87.633859966,"OTHER OFFENSE"
"true","014XX S TRUMBULL AVE","POSS: CRACK",10,"false",41.861975288,"POINT (-87.711637158 41.861975288)","SIDEWALK",-87.711637158,"NARCOTICS"
"false","077XX S LOOMIS BLVD","$500 AND UNDER",6,"true",41.753109854,"POINT (-87.658658021 41.753109854)","SIDEWALK",-87.658658021,"THEFT"
"false","064XX S DR MARTIN LUTHER KING JR DR","TELEPHONE THREAT",3,"true",41.77744854,"POINT (-87.615555807 41.77744854)","APARTMENT",-87.615555807,"OTHER OFFENSE"
"true","054XX S DAMEN AVE","GUN OFFENDER: ANNUAL REGISTRATION",9,"false",41.794527104,"POINT (-87.67431918 41.794527104)","GAS STATION",-87.67431918,"OTHER OFFENSE"
"true","0000X E LOWER WACKER PL","MANU/DELIVER:CRACK",1,"false",41.886811637,"POINT (-87.625063879 41.886811637)","SIDEWALK",-87.625063879,"NARCOTICS"
"false","0000X E 59TH ST","DOMESTIC BATTERY SIMPLE",2,"true",41.787400795,"POINT (-87.623299068 41.787400795)","APARTMENT",-87.623299068,"BATTERY"
"true","027XX W 26TH ST","TO STATE SUP LAND",10,"false",41.844713964,"POINT (-87.693659473 41.844713964)","CHA PARKING LOT/GROUNDS",-87.693659473,"CRIMINAL TRESPASS"
"true","040XX W JACKSON BLVD","POSS: CRACK",11,"false",41.877074653,"POINT (-87.726608136 41.877074653)","SIDEWALK",-87.726608136,"NARCOTICS"
"false","040XX S FEDERAL ST","ARMED: HANDGUN",2,"false",41.820776055,"POINT (-87.628539914 41.820776055)","STREET",-87.628539914,"ROBBERY"
"false","016XX S CENTRAL PARK AVE","SIMPLE",10,"false",41.858415964,"POINT (-87.715191982 41.858415964)","APARTMENT",-87.715191982,"ASSAULT"
