"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Antoine Walker","BOS","81","3396","711","1720","0.413","221","603","0.367","249","348","0.716","151","568","719","445","138","49","301","251","1892","1834","1.48","0.46"
"2","Tim Hardaway","MIA","77","2613","408","1042","0.392","189","517","0.366","145","181","0.801","26","178","204","483","90","6","189","155","1150","1074","2.56","0.48"
"3","Jerry Stackhouse","DET","80","3215","774","1927","0.402","166","473","0.351","666","810","0.822","99","216","315","410","97","54","326","160","2380","1633","1.26","0.3"
"4","Ray Allen","MIL","82","3129","628","1309","0.48","202","467","0.433","348","392","0.888","101","327","428","374","124","20","204","192","1806","1823","1.83","0.61"
"5","Reggie Miller","IND","81","3181","517","1176","0.44","170","464","0.366","323","348","0.928","38","247","285","260","81","15","133","162","1527","1351","1.96","0.61"
"6","Lindsey Hunter","MIL","82","2002","298","783","0.381","152","407","0.373","77","96","0.802","32","137","169","222","102","12","68","172","825","758","3.27","1.5"
"7","Darrell Armstrong","ORL","75","2767","413","1002","0.412","143","403","0.355","220","249","0.884","94","249","343","524","135","13","200","155","1189","1386","2.62","0.68"
"8","Vince Carter","TOR","75","2979","762","1656","0.46","162","397","0.408","384","502","0.765","176","240","416","291","114","82","167","205","2070","1794","1.74","0.68"
"9","Dirk Nowitzki","DAL","82","3125","591","1247","0.474","151","390","0.387","451","538","0.838","119","635","754","173","79","101","156","245","1784","1992","1.11","0.51"
"10","Paul Pierce","BOS","82","3120","687","1513","0.454","147","384","0.383","550","738","0.745","94","428","522","253","138","69","262","251","2071","1777","0.97","0.53"
"11","Voshon Lenard","DEN","80","2331","336","846","0.397","147","382","0.385","153","192","0.797","47","184","231","190","65","18","102","170","972","825","1.86","0.64"
"12","Mike Miller","ORL","82","2390","368","845","0.436","148","364","0.407","91","128","0.711","66","261","327","140","51","19","97","200","975","901","1.44","0.53"
"13","Peja Stojakovic","SAC","75","2905","559","1189","0.47","144","360","0.4","267","312","0.856","93","341","434","164","91","13","146","144","1529","1410","1.12","0.62"
"14","Nick Van Exel","DEN","71","2688","460","1112","0.414","135","358","0.377","204","249","0.819","44","197","241","600","61","18","165","109","1259","1317","3.64","0.37"
"15","Chucky Atkins","DET","81","2363","380","952","0.399","121","339","0.357","90","130","0.692","28","145","173","330","67","5","149","184","971","785","2.22","0.45"
"16","Steve Francis","HOU","80","3194","550","1219","0.451","133","336","0.396","358","438","0.817","190","363","553","517","141","31","265","274","1591","1819","1.95","0.53"
"17","Stephon Marbury","NJN","67","2557","563","1277","0.441","110","335","0.328","362","458","0.79","53","152","205","506","79","5","197","150","1598","1386","2.57","0.4"
"18","Jason Terry","ATL","82","3089","596","1367","0.436","124","314","0.395","303","358","0.846","42","227","269","403","104","12","239","204","1619","1342","1.69","0.44"
"19","Jason Williams","SAC","77","2290","281","690","0.407","98","311","0.315","60","76","0.789","19","166","185","416","94","9","160","114","720","839","2.6","0.59"
"20","Bruce Bowen","MIA","82","2685","211","581","0.363","103","307","0.336","98","161","0.609","45","200","245","132","83","53","74","269","623","629","1.78","1.12"
"21","Allen Iverson","PHI","71","2979","762","1813","0.42","98","306","0.32","585","719","0.814","50","223","273","325","178","20","237","147","2207","1581","1.37","0.75"
"22","Rick Fox","LAL","82","2291","287","646","0.444","118","300","0.393","95","122","0.779","80","245","325","262","70","29","136","225","787","951","1.93","0.52"
