"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Kyle Korver","CLE","67","1753","239","515","0.464","162","359","0.451","38","42","0.905","7","179","186","110","34","21","69","107","678","680","1.59","0.49"
"2","Allen Crabbe","POR","79","2254","303","647","0.468","134","302","0.444","105","124","0.847","19","207","226","94","54","20","62","171","845","814","1.52","0.87"
"3","Joe Ingles","UTA","82","1972","204","451","0.452","123","279","0.441","50","68","0.735","23","238","261","225","96","8","107","163","581","799","2.1","0.9"
"4","Otto Porter Jr.","WAS","80","2605","414","803","0.516","148","341","0.434","99","119","0.832","118","396","514","121","116","42","44","193","1075","1415","2.75","2.64"
"5","JJ Redick","LAC","78","2198","396","890","0.445","201","468","0.429","180","202","0.891","11","160","171","110","54","13","98","125","1173","907","1.12","0.55"
"6","Seth Curry","DAL","70","2029","338","703","0.481","137","322","0.425","85","100","0.85","25","154","179","189","79","7","92","126","898","880","2.05","0.86"
"7","CJ McCollum","POR","80","2796","692","1441","0.48","185","439","0.421","268","294","0.912","60","229","289","285","72","42","172","202","1837","1578","1.66","0.42"
"8","Gary Harris","DEN","57","1782","320","637","0.502","107","255","0.42","104","134","0.776","48","130","178","164","71","8","76","92","851","849","2.16","0.93"
"9","Luke Babbitt","MIA","68","1065","113","281","0.402","87","210","0.414","11","15","0.733","12","129","141","36","20","11","25","118","324","335","1.44","0.8"
"10","Klay Thompson","GSW","78","2649","644","1376","0.468","268","647","0.414","186","218","0.853","49","236","285","160","66","40","128","139","1742","1401","1.25","0.52"
"11","Patty Mills","SAS","80","1754","273","621","0.44","147","355","0.414","66","80","0.825","24","117","141","280","65","3","101","109","759","785","2.77","0.64"
"12","CJ Miles","IND","76","1776","281","647","0.434","169","409","0.413","84","93","0.903","30","199","229","48","46","25","40","151","815","748","1.2","1.15"
"13","Kyle Lowry","TOR","60","2244","426","918","0.464","193","468","0.412","299","365","0.819","48","238","286","417","88","19","173","170","1344","1423","2.41","0.51"
"14","Joe Johnson","UTA","78","1843","273","626","0.436","106","258","0.411","63","77","0.818","33","210","243","144","36","18","69","93","715","720","2.09","0.52"
