"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Karl Malone","UTH","82","3126","830","1548","0.536","11","41","0.268","516","695","0.742","156","715","871","285","129","85","236","269","2187","2424","1.21","0.55"
"2","Dikembe Mutombo","DEN","82","3100","349","628","0.556","0","0","0","248","379","0.654","319","710","1029","113","40","321","192","284","946","1847","0.59","0.21"
"2","Patrick Ewing","NYK","79","2920","730","1452","0.503","6","21","0.286","420","560","0.75","157","710","867","212","68","159","256","272","1886","2074","0.83","0.27"
"4","David Robinson","SAN","81","3074","788","1487","0.53","6","20","0.3","656","847","0.774","234","643","877","236","134","262","233","230","2238","2624","1.01","0.58"
"5","Hakeem Olajuwon","HOU","72","2853","798","1545","0.517","3","16","0.188","406","537","0.756","172","603","775","255","133","242","237","250","2005","2295","1.08","0.56"
"6","Shawn Kemp","SEA","82","2679","545","997","0.547","2","7","0.286","438","585","0.749","318","575","893","149","102","122","259","337","1530","1938","0.58","0.39"
"7","Shaquille O'Neal","ORL","79","2923","930","1594","0.583","0","5","0","455","854","0.533","328","573","901","214","73","192","204","258","2315","2428","1.05","0.36"
"8","Vlade Divac","LAL","80","2807","485","957","0.507","10","53","0.189","297","382","0.777","261","568","829","329","109","174","205","305","1277","1956","1.61","0.53"
"9","Alonzo Mourning","CHH","77","2941","571","1101","0.519","11","34","0.324","490","644","0.761","200","561","761","111","49","225","241","275","1643","1864","0.46","0.2"
"10","Vin Baker","MIL","82","3361","594","1229","0.483","7","24","0.292","256","432","0.593","289","557","846","296","86","116","221","277","1451","1763","1.34","0.39"
"11","Charles Barkley","PHX","68","2382","554","1141","0.486","74","219","0.338","379","507","0.748","203","553","756","276","110","45","150","201","1561","1883","1.84","0.73"
"12","Dennis Rodman","SAN","49","1568","137","240","0.571","0","2","0","75","111","0.676","274","549","823","97","31","23","98","159","349","1086","0.99","0.32"
"13","Popeye Jones","DAL","80","2385","372","839","0.443","1","12","0.083","80","124","0.645","329","515","844","163","35","27","124","267","825","1259","1.32","0.28"
"14","Loy Vaught","LAC","80","2966","609","1185","0.514","7","33","0.212","176","248","0.71","261","511","772","139","104","29","166","243","1401","1631","0.84","0.63"
"15","Kevin Willis","MIA","67","2390","473","1015","0.466","3","15","0.2","205","297","0.69","227","505","732","86","60","36","162","215","1154","1272","0.53","0.37"
"16","Tyrone Hill","CLE","70","2397","350","694","0.504","0","1","0","263","397","0.662","269","496","765","55","55","41","151","245","963","1250","0.36","0.36"
"17","Horace Grant","ORL","74","2693","401","707","0.567","0","8","0","146","211","0.692","223","492","715","173","76","88","85","203","948","1544","2.04","0.89"
"18","A.C. Green","PHX","82","2687","311","617","0.504","43","127","0.339","251","343","0.732","194","475","669","127","55","31","114","146","916","1286","1.11","0.48"
"19","Anthony Mason","NYK","77","2496","287","507","0.566","0","1","0","191","298","0.641","182","468","650","240","69","21","123","253","765","1295","1.95","0.56"
"20","Scottie Pippen","CHI","79","3014","634","1320","0.48","109","316","0.345","315","440","0.716","175","464","639","409","232","89","271","238","1692","1979","1.51","0.86"
"21","Christian Laettner","MIN","81","2770","450","920","0.489","13","40","0.325","409","500","0.818","164","449","613","234","101","87","225","302","1322","1571","1.04","0.45"
"22","Olden Polynice","SAC","81","2534","376","691","0.544","1","1","1","124","194","0.639","277","448","725","62","48","52","113","238","877","1266","0.55","0.43"
"23","Chris Dudley","POR","82","2245","181","446","0.406","0","1","0","85","183","0.464","325","439","764","34","43","126","81","286","447","970","0.42","0.53"
"24","Dale Davis","IND","74","2346","324","576","0.563","0","1","0","138","259","0.533","259","437","696","58","72","116","124","222","786","1231","0.47","0.58"
"25","Terry Mills","DET","72","2514","417","933","0.447","109","285","0.382","175","219","0.799","124","434","558","160","68","33","144","253","1118","1233","1.11","0.47"
"26","Derrick Coleman","NJN","56","2103","371","875","0.424","28","120","0.233","376","490","0.767","167","424","591","187","35","94","172","162","1146","1263","1.09","0.2"
"26","Dino Radja","BOS","66","2147","450","919","0.49","0","1","0","233","307","0.759","149","424","573","111","60","86","159","232","1133","1261","0.7","0.38"
"28","Armen Gilliam","NJN","82","2472","455","905","0.503","0","2","0","302","392","0.77","192","421","613","99","67","89","152","171","1212","1388","0.65","0.44"
"29","Buck Williams","POR","82","2422","309","604","0.512","1","2","0.5","138","205","0.673","251","418","669","78","67","69","119","254","757","1159","0.66","0.56"
"30","Shawn Bradley","PHL","82","2365","315","693","0.455","0","3","0","148","232","0.638","243","416","659","53","54","274","142","338","778","1214","0.37","0.38"
"31","Grant Long","ATL","81","2641","342","716","0.478","11","31","0.355","244","325","0.751","191","415","606","131","109","34","155","243","939","1209","0.85","0.7"
"32","Rik Smits","IND","78","2381","558","1060","0.526","0","2","0","284","377","0.753","192","409","601","111","40","79","189","278","1400","1447","0.59","0.21"
"33","Tom Gugliotta","MIN","77","2568","371","837","0.443","60","186","0.323","174","252","0.69","165","407","572","279","132","62","189","203","976","1288","1.48","0.7"
"34","Lorenzo Williams","DAL","82","2383","145","304","0.477","0","0","0","38","101","0.376","291","399","690","124","52","148","105","306","328","1015","1.18","0.5"
"35","Larry Johnson","CHH","81","3234","585","1219","0.48","81","210","0.386","274","354","0.774","190","395","585","369","78","28","207","174","1525","1664","1.78","0.38"
"36","Brian Grant","SAC","80","2289","413","809","0.511","1","4","0.25","231","363","0.636","207","391","598","99","49","116","163","276","1058","1229","0.61","0.3"
"37","Clar. Weatherspoon","PHL","76","2991","543","1238","0.439","4","21","0.19","283","377","0.751","144","382","526","215","115","67","191","195","1373","1316","1.13","0.6"
"38","Detlef Schrempf","SEA","82","2886","521","997","0.523","93","181","0.514","437","521","0.839","135","373","508","310","93","35","176","252","1572","1782","1.76","0.53"
"39","Eric Montross","BOS","78","2315","307","575","0.534","0","1","0","167","263","0.635","196","370","566","36","29","61","112","299","781","997","0.32","0.26"
"40","Juwan Howard","WAS","65","2348","455","931","0.489","0","7","0","194","292","0.664","184","361","545","165","52","15","166","236","1104","1141","0.99","0.31"
"40","Michael Cage","CLE","82","2040","177","340","0.521","0","2","0","53","88","0.602","203","361","564","56","61","67","56","149","407","901","1","1.09"
"42","Otis Thorpe","POR","70","2096","385","681","0.565","0","7","0","167","281","0.594","202","356","558","112","41","28","132","224","937","1134","0.85","0.31"
"43","Benoit Benjamin","NJN","61","1598","271","531","0.51","0","0","0","133","175","0.76","94","346","440","38","23","64","125","151","675","813","0.3","0.18"
"44","Glenn Robinson","MIL","80","2958","636","1410","0.451","86","268","0.321","397","499","0.796","169","344","513","197","115","22","313","234","1755","1413","0.63","0.37"
"45","Hot Rod Williams","CLE","74","2641","366","810","0.452","1","5","0.2","196","286","0.685","173","334","507","192","83","101","149","211","929","1129","1.29","0.56"
"46","Clyde Drexler","HOU","76","2728","571","1238","0.461","147","408","0.36","364","442","0.824","152","328","480","362","136","45","186","206","1653","1745","1.95","0.73"
"47","Sean Rooks","MIN","80","2405","289","615","0.47","0","5","0","290","381","0.761","165","321","486","97","29","71","142","208","868","992","0.68","0.2"
"48","Grant Hill","DET","70","2678","508","1064","0.477","4","27","0.148","374","511","0.732","125","320","445","353","124","62","202","203","1394","1483","1.75","0.61"
"49","Chris Webber","WAS","54","2067","464","938","0.495","40","145","0.276","117","233","0.502","200","318","518","256","83","85","167","186","1085","1270","1.53","0.5"
"50","Oliver Miller","DET","64","1558","232","418","0.555","3","13","0.231","78","124","0.629","162","313","475","93","60","116","115","217","545","942","0.81","0.52"
