"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Ben Wallace","DET","73","2873","210","437","0.481","1","6","0.167","85","189","0.45","293","833","1126","120","104","230","88","179","506","1667","1.36","1.18"
"2","Elton Brand","LAC","62","2454","451","899","0.502","0","1","0","244","356","0.685","283","420","703","157","71","158","161","204","1146","1514","0.98","0.44"
"3","Jamaal Magloire","NOH","82","2443","305","635","0.48","0","3","0","231","322","0.717","260","464","724","88","49","111","158","276","841","1234","0.56","0.31"
"4","Shaquille O'Neal","LAL","67","2535","695","1211","0.574","0","0","0","451","725","0.622","259","483","742","206","38","159","196","229","1841","2000","1.05","0.19"
"4","Tim Duncan","SAS","81","3181","714","1392","0.513","6","22","0.273","450","634","0.71","259","784","1043","316","55","237","248","231","1884","2425","1.27","0.22"
"6","Amar'e Stoudemire","PHX","82","2570","392","830","0.472","2","10","0.2","320","484","0.661","250","471","721","78","62","87","189","269","1106","1263","0.41","0.33"
"7","Erick Dampier","GSW","82","1978","259","522","0.496","0","2","0","155","222","0.698","248","295","543","58","27","154","112","242","673","1013","0.52","0.24"
"8","Kevin Garnett","MIN","82","3321","743","1481","0.502","20","71","0.282","377","502","0.751","244","858","1102","495","113","129","229","199","1883","2630","2.16","0.49"
"9","P.J. Brown","NOH","78","2609","319","601","0.531","0","3","0","194","232","0.836","243","458","701","147","67","80","98","203","832","1409","1.5","0.68"
"10","Brian Grant","MIA","82","2641","344","676","0.509","0","0","0","158","205","0.771","241","596","837","104","63","47","129","300","846","1389","0.81","0.49"
"11","Zydrunas Ilgauskas","CLE","81","2432","495","1122","0.441","0","5","0","400","512","0.781","240","371","611","127","56","152","210","274","1390","1387","0.61","0.27"
"12","Donyell Marshall","CHI","78","2378","421","918","0.459","33","87","0.379","167","221","0.756","234","465","699","137","95","85","135","234","1042","1372","1.01","0.7"
"13","Dale Davis","POR","78","2282","237","438","0.541","0","0","0","105","166","0.633","233","331","564","94","51","70","71","189","579","1025","1.32","0.72"
"14","Jerome Williams","TOR","71","2346","267","535","0.499","1","6","0.167","156","281","0.555","231","419","650","95","116","26","98","197","691","1087","0.97","1.18"
"15","Troy Murphy","GSW","79","2510","338","749","0.451","3","14","0.214","244","290","0.841","228","578","806","106","65","30","111","246","923","1362","0.96","0.59"
"16","Clar. Weatherspoon","NYK","79","2024","186","414","0.449","0","0","0","149","194","0.768","214","385","599","68","69","36","63","174","521","957","1.08","1.1"
"17","Vladimir Stepania","MIA","79","1594","185","427","0.433","0","0","0","71","134","0.53","211","343","554","24","45","40","69","169","441","730","0.35","0.65"
"18","Nene","DEN","80","2258","321","619","0.519","0","3","0","197","341","0.578","208","283","491","149","127","65","181","295","839","1048","0.82","0.7"
"19","Carlos Boozer","CLE","81","2049","331","618","0.536","0","1","0","148","192","0.771","202","407","609","106","59","50","103","224","810","1200","1.03","0.57"
"19","Jermaine O'Neal","IND","77","2864","610","1260","0.484","7","21","0.333","373","510","0.731","202","594","796","155","66","178","180","277","1600","1828","0.86","0.37"
"21","Shawn Marion","PHX","81","3373","662","1466","0.452","141","364","0.387","251","295","0.851","199","574","773","198","185","95","157","208","1716","1962","1.26","1.18"
"22","Yao Ming","HOU","82","2382","401","805","0.498","1","2","0.5","301","371","0.811","196","479","675","137","31","147","173","230","1104","1447","0.79","0.18"
"23","Antawn Jamison","GSW","82","3226","691","1471","0.47","65","209","0.311","375","475","0.789","195","383","578","156","76","45","177","197","1822","1620","0.88","0.43"
"24","Brendan Haywood","WAS","81","1930","173","339","0.51","0","0","0","155","245","0.633","192","212","404","29","32","119","65","225","501","764","0.45","0.49"
"24","Pau Gasol","MEM","82","2948","569","1116","0.51","1","10","0.1","416","565","0.736","192","528","720","229","34","148","213","220","1555","1777","1.08","0.16"
