"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV","PPG"
"1","Kobe Bryant","LAL","82","3401","868","1924","0.451","124","324","0.383","601","713","0.843","106","458","564","481","181","67","288","218","2461","2298","1.67","0.63",0.72361070273449
"2","Tracy McGrady","ORL","75","2954","829","1813","0.457","173","448","0.386","576","726","0.793","121","367","488","411","124","59","195","156","2407","2160","2.11","0.64",0.814827352742045
"3","Allen Iverson","PHI","82","3485","804","1940","0.414","84","303","0.277","570","736","0.774","68","276","344","454","225","13","286","149","2262","1710","1.59","0.79",0.649067431850789
"4","Paul Pierce","BOS","79","3096","663","1592","0.416","118","391","0.302","604","753","0.802","106","472","578","349","139","62","288","227","2048","1810","1.21","0.48",0.661498708010336
"5","Dirk Nowitzki","DAL","80","3117","690","1489","0.463","148","390","0.379","483","548","0.881","81","710","791","239","111","82","152","206","2011","2218","1.57","0.73",0.645171639396856
"6","Tim Duncan","SAS","81","3181","714","1392","0.513","6","22","0.273","450","634","0.71","259","784","1043","316","55","237","248","231","1884","2425","1.27","0.22",0.592266582835586
"7","Kevin Garnett","MIN","82","3321","743","1481","0.502","20","71","0.282","377","502","0.751","244","858","1102","495","113","129","229","199","1883","2630","2.16","0.49",0.566997892201144
"8","Allan Houston","NYK","82","3108","652","1465","0.445","178","450","0.396","363","395","0.919","26","205","231","220","54","7","178","191","1845","1334","1.24","0.3",0.593629343629344
"9","Shaquille O'Neal","LAL","67","2535","695","1211","0.574","0","0","0","451","725","0.622","259","483","742","206","38","159","196","229","1841","2000","1.05","0.19",0.726232741617357
"10","Antawn Jamison","GSW","82","3226","691","1471","0.47","65","209","0.311","375","475","0.789","195","383","578","156","76","45","177","197","1822","1620","0.88","0.43",0.56478611283323
"11","Jalen Rose","CHI","82","3351","642","1583","0.406","133","359","0.37","399","467","0.854","68","283","351","395","72","23","285","271","1816","1363","1.39","0.25",0.541927782751418
"12","Stephon Marbury","PHX","81","3240","671","1530","0.439","89","296","0.301","375","467","0.803","53","210","263","654","108","20","263","200","1806","1637","2.49","0.41",0.557407407407407
"13","Jamal Mashburn","NOH","82","3321","670","1586","0.422","119","306","0.389","313","369","0.848","66","432","498","462","83","17","230","196","1772","1630","2.01","0.36",0.533574224631135
"14","Shawn Marion","PHX","81","3373","662","1466","0.452","141","364","0.387","251","295","0.851","199","574","773","198","185","95","157","208","1716","1962","1.26","1.18",0.508745923510228
"15","Ray Allen","SEA","76","2880","598","1363","0.439","201","533","0.377","316","345","0.916","94","287","381","334","103","14","198","220","1713","1553","1.69","0.52",0.594791666666667
"16","Steve Francis","HOU","81","3318","571","1312","0.435","85","240","0.354","476","595","0.8","159","340","499","502","141","41","299","251","1703","1727","1.68","0.47",0.513261000602773
"17","Karl Malone","UTA","81","2936","595","1289","0.462","3","14","0.214","474","621","0.763","113","515","628","379","136","31","210","204","1667","1790","1.81","0.65",0.567779291553134
"18","Michael Jordan","WAS","82","3031","679","1527","0.445","16","55","0.291","266","324","0.821","71","426","497","311","123","39","173","171","1640","1531","1.8","0.71",0.541075552622897
"19","Gary Payton","MIL","80","3208","665","1466","0.454","54","182","0.297","250","352","0.71","79","255","334","663","133","20","187","181","1634","1694","3.55","0.71",0.509351620947631
"20","Ricky Davis","CLE","79","3131","602","1470","0.41","74","204","0.363","348","465","0.748","97","293","390","436","125","36","277","180","1626","1351","1.57","0.45",0.519322900031939
"21","Richard Hamilton","DET","82","2640","570","1286","0.443","32","119","0.269","440","528","0.833","88","230","318","208","64","13","200","249","1612","1211","1.04","0.32",0.610606060606061
"22","Shareef Abdur-Rahim","ATL","81","3087","566","1183","0.478","21","60","0.35","455","541","0.841","175","502","677","242","87","38","212","240","1608","1737","1.14","0.41",0.52089407191448
"23","Jermaine O'Neal","IND","77","2864","610","1260","0.484","7","21","0.333","373","510","0.731","202","594","796","155","66","178","180","277","1600","1828","0.86","0.37",0.558659217877095
"24","Antoine Walker","BOS","78","3235","603","1554","0.388","188","582","0.323","176","286","0.615","99","464","563","373","116","31","260","221","1570","1332","1.44","0.45",0.48531684698609
"25","Pau Gasol","MEM","82","2948","569","1116","0.51","1","10","0.1","416","565","0.736","192","528","720","229","34","148","213","220","1555","1777","1.08","0.16",0.527476255088195
"26","Chris Webber","SAC","67","2622","661","1433","0.461","5","21","0.238","215","354","0.607","160","544","704","364","106","88","215","204","1542","1678","1.69","0.49",0.588100686498856
"27","Sam Cassell","MIL","78","2700","546","1162","0.47","59","163","0.362","385","447","0.861","57","285","342","450","88","14","177","216","1536","1575","2.54","0.5",0.568888888888889
"28","Jerry Stackhouse","WAS","70","2747","491","1201","0.409","71","245","0.29","455","518","0.878","61","197","258","316","65","28","193","130","1508","1209","1.64","0.34",0.548962504550419
"29","Gilbert Arenas","GSW","82","2866","509","1180","0.431","109","313","0.348","370","468","0.791","97","289","386","514","124","17","290","260","1497","1479","1.77","0.43",0.522330774598744
"30","Jason Kidd","NJN","80","2989","515","1244","0.414","126","370","0.341","339","403","0.841","110","394","504","711","179","25","296","127","1495","1825","2.4","0.61",0.500167280026765
"31","Steve Nash","DAL","82","2711","518","1114","0.465","111","269","0.413","308","339","0.909","63","171","234","598","85","6","192","134","1455","1559","3.12","0.44",0.536702323865732
"32","Glenn Robinson","ATL","69","2591","539","1248","0.432","90","263","0.342","268","306","0.876","86","371","457","205","91","26","248","183","1436","1220","0.83","0.37",0.554226167502895
"33","Juwan Howard","DEN","77","2730","567","1261","0.45","2","4","0.5","282","351","0.803","181","404","585","234","77","27","189","239","1418","1389","1.24","0.41",0.519413919413919
"34","Rashard Lewis","SEA","77","3044","519","1149","0.452","75","217","0.346","283","345","0.82","152","351","503","133","99","35","143","205","1396","1331","0.93","0.69",0.458607095926413
"35","Jason Terry","ATL","81","3081","488","1141","0.428","160","431","0.371","259","292","0.887","37","242","279","600","126","14","249","175","1395","1479","2.41","0.51",0.452775073028238
"36","Zydrunas Ilgauskas","CLE","81","2432","495","1122","0.441","0","5","0","400","512","0.781","240","371","611","127","56","152","210","274","1390","1387","0.61","0.27",0.571546052631579
"37","Peja Stojakovic","SAC","72","2450","497","1034","0.481","155","406","0.382","231","264","0.875","61","336","397","141","72","5","101","143","1380","1324","1.4","0.71",0.563265306122449
"38","Matt Harpring","UTA","78","2557","521","1020","0.511","66","160","0.413","262","331","0.792","190","324","514","133","73","17","160","217","1370","1379","0.83","0.46",0.53578412201799
"39","Rasheed Wallace","POR","74","2684","515","1094","0.471","110","307","0.358","200","272","0.735","113","435","548","153","70","77","140","223","1340","1397","1.09","0.5",0.499254843517139
"40","Michael Finley","DAL","69","2642","507","1193","0.425","119","322","0.37","198","230","0.861","107","295","402","205","76","21","114","105","1331","1203","1.8","0.67",0.503785011355034
